Gene	EnsID	Chromosome	Start	End	band	strand
22377	LINC00982	ENSG00000177133	1	3059615	3068437	p36.32	-1
8223	PRDM16	ENSG00000142611	1	3069168	3438621	p36.32	1
30347	ARHGEF16	ENSG00000130762	1	3454426	3481113	p36.32	1
11366	MEGF6	ENSG00000162591	1	3489920	3611495	p36.32	-1
1368	MIR551A	ENSG00000207776	1	3560695	3560790	p36.32	-1
27809	TPRG1L	ENSG00000158109	1	3625002	3630127	p36.32	1
100	WRAP73	ENSG00000116213	1	3630767	3652761	p36.32	-1
27168	TP73	ENSG00000078900	1	3652520	3736201	p36.32	1
32718	TP73-AS1	ENSG00000227372	1	3735601	3747336	p36.32	-1
31057	CCDC27	ENSG00000162592	1	3752398	3771645	p36.32	1
32935	SMIM1	ENSG00000235169	1	3772788	3775982	p36.32	1
34527	LRRC47	ENSG00000130764	1	3778558	3796504	p36.32	-1
594	RN7SL574P	ENSG00000266075	1	3782815	3783111	p36.32	1
8331	CEP104	ENSG00000116198	1	3812081	3857214	p36.32	-1
19695	DFFB	ENSG00000169598	1	3857267	3885429	p36.32	1
24300	C1orf174	ENSG00000198912	1	3889125	3900293	p36.32	-1
24400	LINC01134	ENSG00000236423	1	3900372	3917225	p36.32	1
24471	LINC01346	ENSG00000233304	1	3940613	3955262	p36.32	1
29224	EEF1DP6	ENSG00000229280	1	4175528	4175899	p36.32	-1
8612	AJAP1	ENSG00000196581	1	4654732	4792534	p36.32	1
5756	MIR4417	ENSG00000264341	1	5564071	5564143	p36.31	1
1480	MIR4689	ENSG00000264101	1	5862672	5862741	p36.31	-1
26689	NPHP4	ENSG00000131697	1	5862811	5992473	p36.31	-1
28300	KCNAB2	ENSG00000069424	1	5991466	6101193	p36.31	1
22195	CHD5	ENSG00000116254	1	6101793	6180123	p36.31	-1
26854	RPL22	ENSG00000116251	1	6181269	6209389	p36.31	-1
26610	RNF207	ENSG00000158286	1	6205475	6221299	p36.31	1
26485	ICMT	ENSG00000116237	1	6221193	6235972	p36.31	-1
27212	LINC00337	ENSG00000225077	1	6236240	6239444	p36.31	1
27326	HES3	ENSG00000173673	1	6244192	6245578	p36.31	1
34871	GPR153	ENSG00000158292	1	6247346	6260975	p36.31	-1
8303	ACOT7	ENSG00000097021	1	6264269	6394391	p36.31	-1
30301	HES2	ENSG00000069812	1	6412418	6424670	p36.31	-1
15850	ESPN	ENSG00000187017	1	6424788	6461370	p36.31	1
5023	MIR4252	ENSG00000265392	1	6429834	6429896	p36.31	-1
7147	TNFRSF25	ENSG00000215788	1	6461151	6466195	p36.31	-1
18860	PLEKHG5	ENSG00000171680	1	6466092	6520061	p36.31	-1
18463	NOL9	ENSG00000162408	1	6521347	6554535	p36.31	-1
5470	RNU6-731P	ENSG00000253022	1	6540854	6540964	p36.31	1
27096	TAS1R1	ENSG00000173662	1	6555181	6579757	p36.31	1
31723	ZBTB48	ENSG00000204859	1	6580001	6589280	p36.31	1
23766	KLHL21	ENSG00000162413	1	6590724	6614607	p36.31	-1
23907	PHF13	ENSG00000116273	1	6613685	6624033	p36.31	1
34962	THAP3	ENSG00000041988	1	6624866	6635586	p36.31	1
34934	DNAJC11	ENSG00000007923	1	6634168	6701924	p36.31	-1
16007	CAMTA1	ENSG00000171735	1	6785324	7769706	p36.31	1
5805	RNU1-8P	ENSG00000207056	1	7219360	7219524	p36.23	1
15998	CAMTA1-IT1	ENSG00000237402	1	7368942	7370270	p36.23	1
26605	VAMP3	ENSG00000049245	1	7771269	7781432	p36.23	1
34529	PER3	ENSG00000049246	1	7784320	7845177	p36.23	1
34525	UTS2	ENSG00000049247	1	7843083	7853512	p36.23	-1
12423	TNFRSF9	ENSG00000049249	1	7915894	7943165	p36.23	-1
10873	PARK7	ENSG00000116288	1	7954291	7985505	p36.23	1
14927	ERRFI1	ENSG00000116285	1	8004404	8026308	p36.23	-1
5509	RNU1-7P	ENSG00000200975	1	8206434	8206597	p36.23	-1
2473	RNU6-991P	ENSG00000251977	1	8292157	8292263	p36.23	-1
18394	SLC45A1	ENSG00000162426	1	8317826	8344167	p36.23	1
26062	RERE	ENSG00000142599	1	8352397	8817643	p36.23	-1
25268	RPL7P11	ENSG00000234619	1	8750430	8751087	p36.23	1
24985	RPL7P7	ENSG00000224315	1	8786211	8786913	p36.23	-1
16183	RPL23AP19	ENSG00000229716	1	8831007	8831375	p36.23	1
134	ENO1	ENSG00000074800	1	8861002	8879249	p36.23	-1
3454	MIR6728	ENSG00000274258	1	8866502	8866590	p36.23	-1
29471	ENO1-IT1	ENSG00000236269	1	8875788	8878007	p36.23	-1
10050	ENO1-AS1	ENSG00000230679	1	8878835	8879894	p36.23	1
3490	RNU6-304P	ENSG00000201725	1	8883427	8883533	p36.23	-1
25974	HMGN2P17	ENSG00000238249	1	8893409	8894151	p36.23	1
34813	CA6	ENSG00000131686	1	8945867	8975092	p36.23	1
4354	RN7SL451P	ENSG00000265141	1	8979576	8979874	p36.23	-1
16625	SLC2A7	ENSG00000197241	1	9003300	9026345	p36.23	-1
28841	SLC2A5	ENSG00000142583	1	9035107	9088478	p36.23	-1
22045	GPR157	ENSG00000180758	1	9100305	9129170	p36.22	-1
5109	MIR34A	ENSG00000207865	1	9151668	9151777	p36.22	-1
31911	H6PD	ENSG00000049239	1	9234775	9271337	p36.22	1
32088	SPSB1	ENSG00000171621	1	9292880	9369532	p36.22	1
4676	RNA5SP40	ENSG00000252956	1	9437669	9437778	p36.22	-1
14486	SLC25A33	ENSG00000171612	1	9539482	9585179	p36.22	1
22003	TMEM201	ENSG00000188807	1	9588922	9614873	p36.22	1
16545	PIK3CD	ENSG00000171608	1	9651732	9729114	p36.22	1
27547	PIK3CD-AS1	ENSG00000179840	1	9652610	9654586	p36.22	-1
29107	PIK3CD-AS2	ENSG00000231789	1	9672426	9687555	p36.22	-1
27584	CLSTN1	ENSG00000171603	1	9729026	9824526	p36.22	-1
16409	MZT1P1	ENSG00000271264	1	9780822	9781240	p36.22	1
13007	CTNNBIP1	ENSG00000178585	1	9848276	9910336	p36.22	-1
25631	LZIC	ENSG00000162441	1	9922113	9943407	p36.22	-1
26524	NMNAT1	ENSG00000173614	1	9943428	9985501	p36.22	1
2165	RN7SKP269	ENSG00000202415	1	9947318	9947636	p36.22	1
5634	MIR5697	ENSG00000265521	1	9967381	9967458	p36.22	1
22830	RBP7	ENSG00000162444	1	9997206	10016020	p36.22	1
14623	UBE4B	ENSG00000130939	1	10032832	10181239	p36.22	1
15425	PGAM1P11	ENSG00000233623	1	10058671	10059648	p36.22	1
3639	RNU6-828P	ENSG00000201746	1	10163268	10163374	p36.22	1
29776	KIF1B	ENSG00000054523	1	10210805	10381603	p36.22	1
4717	MIR1273D	ENSG00000264881	1	10227718	10227803	p36.22	1
5385	RNU6-37P	ENSG00000199562	1	10298966	10299072	p36.22	1
522	RN7SL731P	ENSG00000264501	1	10306465	10306757	p36.22	1
22085	PGD	ENSG00000142657	1	10398592	10420144	p36.22	1
13041	APITD1-CORT	ENSG00000251503	1	10430102	10452153	p36.22	1
12987	APITD1	ENSG00000175279	1	10430443	10442809	p36.22	1
13160	CORT	ENSG00000241563	1	10449719	10451902	p36.22	1
8446	DFFA	ENSG00000160049	1	10456522	10472526	p36.22	-1
10208	PEX14	ENSG00000142655	1	10472288	10630758	p36.22	1
2712	RN7SL614P	ENSG00000243267	1	10616836	10617115	p36.22	1
12330	CASZ1	ENSG00000130940	1	10636604	10796650	p36.22	-1
9747	HSPE1P24	ENSG00000225158	1	10895761	10895998	p36.22	1
10834	C1orf127	ENSG00000175262	1	10946471	10982037	p36.22	-1
19204	CFL1P6	ENSG00000215785	1	10990978	10991797	p36.22	-1
32567	TARDBP	ENSG00000120948	1	11012344	11026420	p36.22	1
32397	MASP2	ENSG00000009724	1	11026523	11047233	p36.22	-1
27819	SRM	ENSG00000116649	1	11054584	11060024	p36.22	-1
17485	EXOSC10	ENSG00000171824	1	11066618	11099881	p36.22	-1
34936	MTOR	ENSG00000198793	1	11106535	11262507	p36.22	-1
34933	MTOR-AS1	ENSG00000225602	1	11143898	11149537	p36.22	1
1798	RNU6-537P	ENSG00000253086	1	11152350	11152452	p36.22	1
34929	ANGPTL7	ENSG00000171819	1	11189341	11195981	p36.22	1
1571	RNU6-291P	ENSG00000207451	1	11226254	11226360	p36.22	1
34974	RPL39P6	ENSG00000238173	1	11232963	11233112	p36.22	1
195	UBIAD1	ENSG00000120942	1	11273206	11296049	p36.22	1
148	UBE2V2P3	ENSG00000238199	1	11278616	11279351	p36.22	-1
10229	PTCHD2	ENSG00000204624	1	11479166	11537584	p36.22	1
7634	FBXO2	ENSG00000116661	1	11648367	11655785	p36.22	-1
7735	FBXO44	ENSG00000132879	1	11654375	11663327	p36.22	1
16066	FBXO6	ENSG00000116663	1	11664124	11674354	p36.22	1
34964	MAD2L2	ENSG00000116670	1	11674480	11691650	p36.22	-1
20596	DRAXIN	ENSG00000162490	1	11691729	11725857	p36.22	1
32496	AGTRAP	ENSG00000177674	1	11736084	11754802	p36.22	1
2172	C1orf167	ENSG00000215910	1	11761787	11789585	p36.22	1
33668	MTHFR	ENSG00000177000	1	11785723	11806920	p36.22	-1
33554	CLCN6	ENSG00000011021	1	11806096	11843144	p36.22	1
33545	NPPA-AS1	ENSG00000242349	1	11841017	11848079	p36.22	1
33534	NPPA	ENSG00000175206	1	11845709	11848345	p36.22	-1
19757	NPPB	ENSG00000120937	1	11857464	11858931	p36.22	-1
2488	RNU5E-1	ENSG00000199347	1	11908152	11908271	p36.22	1
3685	RNU5E-4P	ENSG00000201801	1	11909808	11909927	p36.22	-1
7288	KIAA2013	ENSG00000116685	1	11919591	11926428	p36.22	-1
32147	PLOD1	ENSG00000083444	1	11934205	11975538	p36.22	1
23446	MFN2	ENSG00000116688	1	11980181	12013514	p36.22	1
35040	MIIP	ENSG00000116691	1	12019466	12032045	p36.22	1
3547	MIR6729	ENSG00000276869	1	12029158	12029222	p36.22	1
2763	RN7SL649P	ENSG00000243539	1	12036740	12037014	p36.22	-1
13492	TNFRSF8	ENSG00000120949	1	12063377	12144207	p36.22	1
14433	RNU6-777P	ENSG00000201135	1	12077881	12077984	p36.22	-1
2652	MIR7846	ENSG00000275459	1	12166943	12167038	p36.22	1
8652	TNFRSF1B	ENSG00000028137	1	12167003	12209228	p36.22	1
4598	MIR4632	ENSG00000263676	1	12191713	12191773	p36.22	1
32454	VPS13D	ENSG00000048707	1	12230067	12512047	p36.22	1
3730	SNORA59A	ENSG00000239149	1	12507246	12507397	p36.21	1
18834	DHRS3	ENSG00000162496	1	12567910	12617731	p36.21	-1
4517	RNU6ATAC18P	ENSG00000221340	1	12569972	12570072	p36.21	-1
4790	MIR6730	ENSG00000276830	1	12578957	12579023	p36.21	-1
18977	AADACL4	ENSG00000204518	1	12644547	12667086	p36.21	1
33326	AADACL3	ENSG00000188984	1	12716115	12728759	p36.21	1
10916	C1orf158	ENSG00000157330	1	12746215	12763699	p36.21	1
20649	PRAMEF12	ENSG00000116726	1	12774841	12777906	p36.21	1
23795	PRAMEF1	ENSG00000116721	1	12791397	12796628	p36.21	1
25768	PRAMEF11	ENSG00000239810	1	12824605	12831410	p36.21	-1
7669	PRAMEF11	ENSG00000279195	1	12824942	12828663	p36.21	-1
8432	HNRNPCL1	ENSG00000179172	1	12847377	12947578	p36.21	-1
5887	PRAMEF2	ENSG00000120952	1	12857086	12861909	p36.21	1
5944	PRAMEF4	ENSG00000243073	1	12879224	12886201	p36.21	-1
8778	PRAMEF10	ENSG00000187545	1	12892896	12898270	p36.21	-1
142	PRAMEF7	ENSG00000204510	1	12916610	12920482	p36.21	1
2201	RNU6-1072P	ENSG00000207434	1	12922554	12922660	p36.21	1
8178	PRAMEF6	ENSG00000232423	1	12938472	13056491	p36.21	-1
1228	PRAMEF26	ENSG00000229571	1	13060853	13077884	p36.21	1
27171	HNRNPCL3	ENSG00000277058	1	13060869	13062229	p36.21	1
1014	HNRNPCL2	ENSG00000275774	1	13115496	13116854	p36.21	-1
30945	HNRNPCL4	ENSG00000179412	1	13164586	13165467	p36.21	-1
30946	PRAMEF25	ENSG00000204505	1	13172455	13179464	p36.21	1
33133	PRAMEF13	ENSG00000279169	1	13196823	13199589	p36.21	-1
6807	PRAMEF18	ENSG00000279804	1	13222695	13226133	p36.21	-1
161	PRAMEF5	ENSG00000270601	1	13254198	13263435	p36.21	1
871	RNU6-771P	ENSG00000207511	1	13279125	13279231	p36.21	-1
7204	PRAMEF8	ENSG00000182330	1	13281035	13285174	p36.21	-1
6767	PRAMEF15	ENSG00000204501	1	13303509	13322598	p36.21	1
6756	PRAMEF14	ENSG00000204481	1	13342034	13347134	p36.21	-1
10691	PRAMEF19	ENSG00000204480	1	13369067	13371693	p36.21	-1
10892	PRAMEF17	ENSG00000204479	1	13389632	13392629	p36.21	1
11024	PRAMEF20	ENSG00000204478	1	13410450	13421328	p36.21	1
11496	LRRC38	ENSG00000162494	1	13474977	13514048	p36.21	-1
22096	BRWD1P1	ENSG00000215909	1	13555001	13555694	p36.21	1
8654	PDPN	ENSG00000162493	1	13583465	13617957	p36.21	1
692	RNA5SP41	ENSG00000222952	1	13623184	13623284	p36.21	-1
29263	PRDM2	ENSG00000116731	1	13700198	13825079	p36.21	1
5363	RNU6-1265P	ENSG00000252151	1	14124233	14124335	p36.21	-1
17164	KAZN	ENSG00000189337	1	14598704	15118043	p36.21	1
17797	TBCAP2	ENSG00000235829	1	14692129	14692613	p36.21	-1
17082	TMEM51-AS1	ENSG00000175147	1	15111815	15152464	p36.21	-1
35043	TMEM51	ENSG00000171729	1	15152532	15220480	p36.21	1
35051	C1orf195	ENSG00000204464	1	15164344	15171317	p36.21	-1
11873	FHAD1	ENSG00000142621	1	15247272	15400283	p36.21	1
12133	EFHD2	ENSG00000142634	1	15409895	15430343	p36.21	1
20176	CTRC	ENSG00000162438	1	15438439	15449242	p36.21	1
33715	CELA2A	ENSG00000142615	1	15456728	15472091	p36.21	1
33704	CELA2B	ENSG00000215704	1	15465909	15491400	p36.21	1
33423	CASP9	ENSG00000132906	1	15490832	15526534	p36.21	-1
7366	DNAJC16	ENSG00000116138	1	15526813	15592379	p36.21	1
6485	AGMAT	ENSG00000116771	1	15572353	15585110	p36.21	-1
25683	CHCHD2P6	ENSG00000235084	1	15604597	15605043	p36.21	1
4509	RNU7-179P	ENSG00000252417	1	15608078	15608145	p36.21	-1
31805	DDI2	ENSG00000197312	1	15617500	15669044	p36.21	1
31828	RSC1A1	ENSG00000215695	1	15659869	15661722	p36.21	1
12736	PLEKHM2	ENSG00000116786	1	15684332	15734769	p36.21	1
13566	SLC25A34	ENSG00000162461	1	15736405	15741396	p36.21	1
13919	TMEM82	ENSG00000162460	1	15742422	15747982	p36.21	1
15326	FBLIM1	ENSG00000162458	1	15756607	15786594	p36.21	1
24280	SPEN	ENSG00000065526	1	15847864	15940460	p36.21	1
32554	ZBTB17	ENSG00000116809	1	15941869	15976132	p36.13	-1
19849	TBC1D3P6	ENSG00000224966	1	15989871	15994751	p36.13	1
22814	C1orf64	ENSG00000183888	1	16004236	16008807	p36.13	1
29530	HSPB7	ENSG00000173641	1	16014028	16019594	p36.13	-1
29896	CLCNKA	ENSG00000186510	1	16018875	16034050	p36.13	1
34278	CLCNKB	ENSG00000184908	1	16043736	16057308	p36.13	1
33717	FAM131C	ENSG00000185519	1	16057769	16073632	p36.13	-1
18079	EPHA2	ENSG00000142627	1	16124337	16156087	p36.13	-1
16256	ARHGEF19	ENSG00000142632	1	16197854	16212609	p36.13	-1
17931	ARHGEF19-AS1	ENSG00000234166	1	16197854	16198357	p36.13	1
19266	ANO7P1	ENSG00000237276	1	16215909	16228027	p36.13	-1
19379	RSG1	ENSG00000132881	1	16231700	16237162	p36.13	-1
27019	MT1XP1	ENSG00000233929	1	16241213	16241398	p36.13	-1
32844	FBXO42	ENSG00000037637	1	16246839	16352454	p36.13	-1
19480	SZRD1	ENSG00000055070	1	16352575	16398145	p36.13	1
20139	SPATA21	ENSG00000187144	1	16387117	16437424	p36.13	-1
26135	NECAP2	ENSG00000157191	1	16440672	16460078	p36.13	1
10559	CROCCP3	ENSG00000080947	1	16467436	16499257	p36.13	-1
5836	RNU1-1	ENSG00000206652	1	16514122	16514285	p36.13	-1
4892	RNU1-6P	ENSG00000277344	1	16534081	16534224	p36.13	-1
18935	FAM231C	ENSG00000268991	1	16539066	16539575	p36.13	1
19999	NBPF1	ENSG00000219481	1	16562319	16613562	p36.13	-1
15388	CROCCP2	ENSG00000215908	1	16618262	16644683	p36.13	-1
18371	MST1P2	ENSG00000186301	1	16645622	16650289	p36.13	1
2459	RNU1-3	ENSG00000207513	1	16666785	16666948	p36.13	-1
27671	FAM231A	ENSG00000237847	1	16673003	16673512	p36.13	1
27934	EIF1AXP1	ENSG00000236698	1	16685621	16686055	p36.13	-1
27931	ESPNP	ENSG00000268869	1	16687339	16720157	p36.13	-1
10383	FAM231A	ENSG00000279132	1	16733951	16734461	p36.13	-1
10384	FAM231C	ENSG00000279132	1	16733951	16734461	p36.13	-1
13809	CROCC	ENSG00000058453	1	16740273	16972979	p36.13	1
5867	RNU1-4	ENSG00000207389	1	16740516	16740679	p36.13	1
13577	CROCCP4	ENSG00000227684	1	16750233	16750964	p36.13	1
13460	MST1L	ENSG00000186715	1	16754910	16770237	p36.13	-1
400	MIR3675	ENSG00000263811	1	16858949	16859021	p36.13	-1
5036	RNU1-5P	ENSG00000277234	1	16873708	16873851	p36.13	1
862	RNU1-2	ENSG00000207005	1	16895980	16896143	p36.13	1
34075	MFAP2	ENSG00000117122	1	16974502	16980835	p36.13	-1
33873	ATP13A2	ENSG00000159363	1	16985958	17011928	p36.13	-1
28674	SDHB	ENSG00000117118	1	17018722	17054170	p36.13	-1
12026	PADI2	ENSG00000117115	1	17066761	17119435	p36.13	-1
11577	PADI1	ENSG00000142623	1	17205126	17246005	p36.13	1
25664	PADI3	ENSG00000142619	1	17249098	17284233	p36.13	1
1042	MIR3972	ENSG00000266634	1	17277889	17277975	p36.13	1
31568	PADI4	ENSG00000159339	1	17308195	17364004	p36.13	1
23494	PADI6	ENSG00000276747	1	17372196	17401699	p36.13	1
28306	RCC2	ENSG00000179051	1	17406760	17439724	p36.13	-1
3847	ARHGEF10L	ENSG00000074964	1	17539835	17697874	p36.13	1
31835	ACTL8	ENSG00000117148	1	17755313	17827063	p36.13	1
31952	IGSF21	ENSG00000117154	1	18107746	18378483	p36.13	1
32459	KLHDC7A	ENSG00000179023	1	18480982	18486126	p36.13	1
1614	DYNLL1P3	ENSG00000235282	1	18513118	18513383	p36.13	1
23986	PAX7	ENSG00000009709	1	18631006	18748866	p36.13	1
11756	TAS1R2	ENSG00000179002	1	18839599	18859682	p36.13	-1
12204	ALDH4A1	ENSG00000159423	1	18871430	18902781	p36.13	-1
5675	MIR4695	ENSG00000265606	1	18883202	18883275	p36.13	-1
4258	MIR1290	ENSG00000221662	1	18897071	18897148	p36.13	-1
10068	IFFO2	ENSG00000169991	1	18904281	18956686	p36.13	-1
22606	UBR4	ENSG00000127481	1	19074506	19210276	p36.13	-1
33092	EMC1	ENSG00000127463	1	19215664	19251552	p36.13	-1
6456	MRTO4	ENSG00000053372	1	19251539	19260128	p36.13	1
26151	AKR7L	ENSG00000211454	1	19265982	19274194	p36.13	-1
16665	AKR7A3	ENSG00000162482	1	19282558	19289250	p36.13	-1
10160	AKR7A2	ENSG00000053371	1	19303965	19312146	p36.13	-1
3988	RNU6-1099P	ENSG00000200403	1	19305076	19305182	p36.13	-1
9467	PQLC2	ENSG00000040487	1	19312326	19329300	p36.13	1
15750	CAPZB	ENSG00000077549	1	19338776	19485539	p36.13	-1
2320	RN7SL277P	ENSG00000240490	1	19424384	19424671	p36.13	1
483	RNU4-28P	ENSG00000201609	1	19510593	19510733	p36.13	1
19295	MINOS1	ENSG00000173436	1	19596977	19629821	p36.13	1
27950	MINOS1-NBL1	ENSG00000270136	1	19596979	19658056	p36.13	1
20645	NBL1	ENSG00000158747	1	19640554	19658456	p36.13	1
23716	HTR6	ENSG00000158748	1	19665287	19679562	p36.13	1
4070	TMCO4	ENSG00000162542	1	19682213	19799945	p36.13	-1
8630	RNF186	ENSG00000178828	1	19814029	19815278	p36.13	-1
